Account;Reference Key 1;Reference;Document Date;Net due date;Amount in local currency;Amount in doc. curr.;Local Currency;Payment Method;Text;Assignment;Document Number;Clearing Document;Document Type;User Name;Reason code;Posting Key;Debit/Credit ind;Last Dunned;Dunning Level;Arrears after net due date,,
AB10000005;1457382244;21/07/2025;26/07/2025;36,148.67;36,148.67;EUR;C;;1431056573;8411319;2032730046;RV;B_BILAB01_02;;1;S;0;-11;-6;49
AB10000005;1404798325;11/07/2025;26/07/2025;40,036.83;40,036.83;EUR;B;;1408892724;8488551;2044571312;RV;B_BILAB01_02;;1;S;0;-5;-17;17
AB10000005;1481141029;06/06/2025;14/06/2025;11,821.50;11,821.50;EUR;B;;1470144458;8449726;2058091599;RV;B_BILAB01_02;;1;S;0;-3;-11;32
AB10000005;1447920462;14/06/2025;26/06/2025;30,218.94;30,218.94;EUR;I;;1498702928;8490907;;RV;B_BILAB01_02;;1;S;0;0;-3;58
AB10000005;1444668780;04/07/2025;12/07/2025;42,013.58;42,013.58;EUR;B;;1485616349;8494280;2060486247;RV;B_BILAB01_02;;1;S;0;-5;-17;32
AB10000005;1407716694;04/06/2025;20/06/2025;8,583.66;8,583.66;EUR;C;;1434665385;8445039;2057490580;RV;B_BILAB01_02;;1;S;0;0;-9;3
AB10000006;1449096258;05/07/2025;11/07/2025;18,496.16;18,496.16;EUR;C;;1438570955;8464572;2008029864;RV;B_BILAB01_02;;1;S;0;-5;-4;47
AB10000006;1496102039;20/06/2025;26/06/2025;63,719.31;63,719.31;EUR;I;;1484214018;8412057;2040671928;RV;B_BILAB01_02;;1;S;0;-3;-16;20
AB10000006;1465775937;24/06/2025;13/07/2025;55,506.16;55,506.16;EUR;B;;1474130030;8470870;2095701758;RV;B_BILAB01_02;;1;S;0;-6;-11;53
AB10000006;1467883401;05/06/2025;24/06/2025;55,017.71;55,017.71;EUR;I;;1493397375;8406320;;RV;B_BILAB01_02;;1;S;0;-7;-3;35
AB10000006;1424614373;22/06/2025;05/07/2025;65,776.27;65,776.27;EUR;B;;1493516939;8469328;;RV;B_BILAB01_02;;1;S;0;-15;-19;15
AB10000006;1445954856;09/06/2025;18/06/2025;11,411.34;11,411.34;EUR;I;;1450435379;8471845;;RV;B_BILAB01_02;;1;S;0;-3;-14;5
AB10000006;1451752794;29/06/2025;13/07/2025;55,807.68;55,807.68;EUR;C;;1478681697;8437745;;RV;B_BILAB01_02;;1;S;0;-6;-20;60
AB10000006;1458646677;08/07/2025;14/07/2025;47,992.82;47,992.82;EUR;B;;1432671192;8411313;2011543087;RV;B_BILAB01_02;;1;S;0;-14;-10;54
AB10000006;1463570914;14/07/2025;27/07/2025;19,073.00;19,073.00;EUR;B;;1436782061;8421179;;RV;B_BILAB01_02;;1;S;0;-2;-18;44
AB10000006;1463625215;28/07/2025;08/08/2025;68,042.09;68,042.09;EUR;I;;1420668804;8492721;2047553566;RV;B_BILAB01_02;;1;S;0;-3;-8;35
AB10000007;1430088499;07/07/2025;14/07/2025;6,241.20;6,241.20;EUR;B;;1473265836;8405103;2043932928;RV;B_BILAB01_02;;1;S;0;-4;-4;41
AB10000007;1433475115;23/06/2025;06/07/2025;43,084.48;43,084.48;EUR;I;;1404934327;8425581;;RV;B_BILAB01_02;;1;S;0;0;-11;3
AB10000007;1476116792;21/06/2025;08/07/2025;69,328.33;69,328.33;EUR;I;;1466404012;8457000;2076525327;RV;B_BILAB01_02;;1;S;0;-9;-10;27
AB10000007;1444782637;06/07/2025;14/07/2025;66,090.85;66,090.85;EUR;C;;1474370078;8447841;;RV;B_BILAB01_02;;1;S;0;-1;-1;2
AB10000008;1486475952;29/06/2025;18/07/2025;8,455.80;8,455.80;EUR;C;;1461025915;8494439;;RV;B_BILAB01_02;;1;S;0;-3;-9;56
AB10000008;1459822393;18/07/2025;01/08/2025;15,735.06;15,735.06;EUR;C;;1462640088;8407285;2028655455;RV;B_BILAB01_02;;1;S;0;-12;-14;31
AB10000008;1419994201;22/07/2025;03/08/2025;68,612.12;68,612.12;EUR;C;;1419299863;8484251;2034139872;RV;B_BILAB01_02;;1;S;0;-15;-11;27
AB10000008;1455745676;10/07/2025;20/07/2025;57,179.53;57,179.53;EUR;C;;1415876429;8402686;2069033553;RV;B_BILAB01_02;;1;S;0;-7;-12;17
AB10000008;1411282003;06/07/2025;12/07/2025;23,709.23;23,709.23;EUR;C;;1417095269;8499503;2026034965;RV;B_BILAB01_02;;1;S;0;-2;-4;27
AB10000008;1448019217;31/07/2025;10/08/2025;36,429.83;36,429.83;EUR;C;;1471810100;8437855;;RV;B_BILAB01_02;;1;S;0;-4;-4;22
AB10000008;1423780614;12/07/2025;19/07/2025;62,103.98;62,103.98;EUR;I;;1402393668;8466290;2014863828;RV;B_BILAB01_02;;1;S;0;-7;-4;33
AB10000009;1453045379;28/07/2025;02/08/2025;37,498.45;37,498.45;EUR;I;;1421856434;8457450;2034502689;RV;B_BILAB01_02;;1;S;0;-4;-7;36
AB10000009;1447142092;29/07/2025;05/08/2025;16,567.75;16,567.75;EUR;I;;1434307728;8466147;;RV;B_BILAB01_02;;1;S;0;-13;-16;24
AB10000009;1435361280;09/07/2025;23/07/2025;31,067.50;31,067.50;EUR;C;;1491434492;8443538;2058733539;RV;B_BILAB01_02;;1;S;0;-3;-8;22
AB10000009;1423784185;01/06/2025;19/06/2025;47,994.08;47,994.08;EUR;C;;1492294112;8424860;2009592071;RV;B_BILAB01_02;;1;S;0;-10;-9;43
AB10000009;1436862757;05/06/2025;19/06/2025;8,237.34;8,237.34;EUR;C;;1439110545;8420787;;RV;B_BILAB01_02;;1;S;0;-9;-16;30
AB10000009;1481093728;23/06/2025;03/07/2025;16,058.66;16,058.66;EUR;B;;1415612556;8493099;;RV;B_BILAB01_02;;1;S;0;-12;-13;60
AB10000009;1472105069;30/06/2025;13/07/2025;19,642.73;19,642.73;EUR;B;;1498896213;8424784;;RV;B_BILAB01_02;;1;S;0;-7;-2;18
AB10000009;1492923685;01/07/2025;10/07/2025;57,760.80;57,760.80;EUR;B;;1494368036;8408654;;RV;B_BILAB01_02;;1;S;0;-7;-2;26
AB10000009;1496275739;22/07/2025;10/08/2025;69,356.35;69,356.35;EUR;C;;1417717084;8460358;2029562467;RV;B_BILAB01_02;;1;S;0;-4;-18;28
AB10000009;1441038169;12/06/2025;19/06/2025;37,645.28;37,645.28;EUR;I;;1411890861;8408744;2025165173;RV;B_BILAB01_02;;1;S;0;-1;-14;62
AB10000009;1496662493;27/07/2025;09/08/2025;49,574.26;49,574.26;EUR;B;;1453312620;8414249;2075774682;RV;B_BILAB01_02;;1;S;0;-5;-15;62
AB10000010;1431949545;12/07/2025;23/07/2025;24,452.35;24,452.35;EUR;B;;1451473726;8444770;;RV;B_BILAB01_02;;1;S;0;-15;-17;54
AB10000010;1418339928;05/07/2025;22/07/2025;9,565.40;9,565.40;EUR;B;;1443003840;8465254;;RV;B_BILAB01_02;;1;S;0;0;-18;1
AB10000010;1465426424;23/07/2025;31/07/2025;40,986.43;40,986.43;EUR;C;;1443217455;8454493;2013344170;RV;B_BILAB01_02;;1;S;0;-5;-20;9
AB10000010;1482779999;14/06/2025;01/07/2025;38,738.84;38,738.84;EUR;C;;1432242949;8433877;2027808222;RV;B_BILAB01_02;;1;S;0;-12;-10;43
AB10000010;1452603496;24/07/2025;09/08/2025;31,604.10;31,604.10;EUR;C;;1459331812;8402389;2079570065;RV;B_BILAB01_02;;1;S;0;-2;-15;14
AB10000010;1473216312;23/06/2025;13/07/2025;67,459.66;67,459.66;EUR;I;;1441511838;8465029;2065940556;RV;B_BILAB01_02;;1;S;0;-1;-7;10
AB10000010;1427699762;19/06/2025;26/06/2025;19,805.24;19,805.24;EUR;C;;1453952653;8429240;;RV;B_BILAB01_02;;1;S;0;-9;-16;5
AB10000010;1419393559;20/07/2025;03/08/2025;52,885.54;52,885.54;EUR;C;;1480437834;8445430;;RV;B_BILAB01_02;;1;S;0;0;-5;15
AB10000011;1473989416;25/06/2025;01/07/2025;15,655.81;15,655.81;EUR;I;;1424793681;8465501;2007341910;RV;B_BILAB01_02;;1;S;0;-8;-4;28
AB10000011;1455134140;26/07/2025;14/08/2025;56,990.29;56,990.29;EUR;B;;1433422759;8467589;;RV;B_BILAB01_02;;1;S;0;-6;-14;31
AB10000011;1496676323;20/06/2025;04/07/2025;5,709.34;5,709.34;EUR;C;;1431275257;8421849;2026617213;RV;B_BILAB01_02;;1;S;0;0;-7;0
AB10000011;1410687293;14/06/2025;29/06/2025;32,680.35;32,680.35;EUR;B;;1438826495;8402970;2046437652;RV;B_BILAB01_02;;1;S;0;-15;-6;6
AB10000011;1432177114;19/07/2025;24/07/2025;65,423.54;65,423.54;EUR;C;;1410083141;8476188;2060527199;RV;B_BILAB01_02;;1;S;0;-7;-14;17
AB10000011;1430960036;07/07/2025;22/07/2025;50,214.34;50,214.34;EUR;C;;1431134251;8479375;2032675268;RV;B_BILAB01_02;;1;S;0;-9;-20;47
AB10000012;1476789702;01/06/2025;13/06/2025;65,290.24;65,290.24;EUR;B;;1421431330;8407415;;RV;B_BILAB01_02;;1;S;0;-8;-13;0
AB10000012;1483805023;03/06/2025;16/06/2025;41,067.66;41,067.66;EUR;I;;1434578516;8491922;2046770181;RV;B_BILAB01_02;;1;S;0;-2;-5;48
AB10000012;1401019196;13/06/2025;26/06/2025;23,011.03;23,011.03;EUR;B;;1445854156;8412542;2040711978;RV;B_BILAB01_02;;1;S;0;-1;-15;59
AB10000012;1478282574;11/07/2025;29/07/2025;44,826.82;44,826.82;EUR;C;;1402042031;8479929;2053158384;RV;B_BILAB01_02;;1;S;0;-6;0;2
AB10000012;1404684489;15/07/2025;21/07/2025;57,567.29;57,567.29;EUR;C;;1437675403;8402167;2082301399;RV;B_BILAB01_02;;1;S;0;0;-6;59
AB10000013;1457936301;11/07/2025;27/07/2025;23,936.02;23,936.02;EUR;B;;1433065187;8482595;;RV;B_BILAB01_02;;1;S;0;-6;-15;63
AB10000013;1407498361;13/06/2025;03/07/2025;39,259.37;39,259.37;EUR;C;;1479675447;8433862;;RV;B_BILAB01_02;;1;S;0;-14;-13;23
AB10000013;1495160414;09/06/2025;20/06/2025;41,642.07;41,642.07;EUR;B;;1441729438;8455412;2037443253;RV;B_BILAB01_02;;1;S;0;-10;0;46
AB10000013;1468536165;12/06/2025;21/06/2025;7,183.62;7,183.62;EUR;C;;1456429669;8459724;2077095802;RV;B_BILAB01_02;;1;S;0;-2;-3;10
AB10000013;1417451834;24/06/2025;30/06/2025;56,810.76;56,810.76;EUR;I;;1471675304;8480083;;RV;B_BILAB01_02;;1;S;0;-14;-1;46
AB10000013;1454215769;25/06/2025;12/07/2025;23,746.47;23,746.47;EUR;B;;1483947681;8490467;2061261974;RV;B_BILAB01_02;;1;S;0;-8;-6;29
AB10000013;1478641508;24/06/2025;30/06/2025;14,696.92;14,696.92;EUR;B;;1499856818;8463476;;RV;B_BILAB01_02;;1;S;0;-9;-10;32
AB10000014;1427855654;12/07/2025;19/07/2025;11,470.80;11,470.80;EUR;I;;1436697762;8495577;2079731355;RV;B_BILAB01_02;;1;S;0;-7;-15;15
AB10000014;1427817175;24/07/2025;02/08/2025;13,624.64;13,624.64;EUR;C;;1487666592;8462067;2056961686;RV;B_BILAB01_02;;1;S;0;-8;-18;55
AB10000014;1416207436;21/06/2025;26/06/2025;66,068.05;66,068.05;EUR;I;;1404429352;8486782;;RV;B_BILAB01_02;;1;S;0;-14;-2;50
AB10000014;1402195335;04/06/2025;21/06/2025;68,803.76;68,803.76;EUR;I;;1434497132;8445712;;RV;B_BILAB01_02;;1;S;0;-1;-6;62
AB10000014;1457984960;24/07/2025;10/08/2025;56,115.06;56,115.06;EUR;B;;1452138290;8469853;2089664123;RV;B_BILAB01_02;;1;S;0;-15;-10;13
AB10000015;1497842812;27/06/2025;11/07/2025;36,658.31;36,658.31;EUR;C;;1493540580;8445481;2008574862;RV;B_BILAB01_02;;1;S;0;-15;0;58
AB10000015;1412356231;15/07/2025;03/08/2025;5,313.37;5,313.37;EUR;I;;1494736960;8452627;;RV;B_BILAB01_02;;1;S;0;-13;-5;63
AB10000015;1448344429;16/07/2025;01/08/2025;18,205.23;18,205.23;EUR;B;;1489142835;8477323;2053069855;RV;B_BILAB01_02;;1;S;0;-12;-15;30
AB10000015;1462496259;02/06/2025;22/06/2025;43,491.22;43,491.22;EUR;C;;1441556526;8488871;2008060072;RV;B_BILAB01_02;;1;S;0;0;-1;15
AB10000015;1482563323;04/07/2025;21/07/2025;22,973.12;22,973.12;EUR;B;;1456580172;8461099;;RV;B_BILAB01_02;;1;S;0;-9;-8;55
AB10000015;1414721056;21/07/2025;27/07/2025;33,618.82;33,618.82;EUR;I;;1458380397;8488677;2013946999;RV;B_BILAB01_02;;1;S;0;-2;-18;37
AB10000015;1477555386;15/07/2025;24/07/2025;47,861.86;47,861.86;EUR;B;;1468302315;8456858;2067937656;RV;B_BILAB01_02;;1;S;0;-2;-18;52
AB10000016;1497202503;07/07/2025;14/07/2025;43,210.95;43,210.95;EUR;B;;1453230290;8401910;2018056954;RV;B_BILAB01_02;;1;S;0;-10;-13;31
AB10000016;1427153872;06/07/2025;22/07/2025;18,316.13;18,316.13;EUR;I;;1425336322;8419479;2032170154;RV;B_BILAB01_02;;1;S;0;-3;-1;26
AB10000016;1423602776;11/06/2025;16/06/2025;20,400.55;20,400.55;EUR;B;;1493498926;8421212;;RV;B_BILAB01_02;;1;S;0;0;-19;28
AB10000016;1492020218;04/06/2025;11/06/2025;20,541.84;20,541.84;EUR;B;;1432563193;8403885;;RV;B_BILAB01_02;;1;S;0;-11;-17;26
AB10000016;1421987462;07/06/2025;23/06/2025;15,692.37;15,692.37;EUR;C;;1441588187;8495851;;RV;B_BILAB01_02;;1;S;0;-3;-19;19
AB10000016;1479656387;15/06/2025;28/06/2025;7,280.41;7,280.41;EUR;B;;1411139393;8471607;;RV;B_BILAB01_02;;1;S;0;-6;-18;34
AB10000016;1448875532;04/07/2025;20/07/2025;8,474.42;8,474.42;EUR;C;;1495978427;8403201;;RV;B_BILAB01_02;;1;S;0;-15;-9;38
AB10000016;1460630384;28/06/2025;07/07/2025;59,665.36;59,665.36;EUR;C;;1450244949;8463732;;RV;B_BILAB01_02;;1;S;0;-1;0;31
AB10000016;1431316542;04/07/2025;17/07/2025;21,296.44;21,296.44;EUR;I;;1478156026;8456914;2003350941;RV;B_BILAB01_02;;1;S;0;-2;-1;57
AB10000016;1456664851;13/06/2025;24/06/2025;32,712.90;32,712.90;EUR;C;;1438494675;8474260;2028616757;RV;B_BILAB01_02;;1;S;0;0;-2;6
AB10000016;1472950617;28/07/2025;03/08/2025;32,221.77;32,221.77;EUR;B;;1471447151;8409470;;RV;B_BILAB01_02;;1;S;0;-7;-14;9
AB10000016;1489303379;27/06/2025;15/07/2025;64,017.11;64,017.11;EUR;C;;1488099506;8403952;2094830859;RV;B_BILAB01_02;;1;S;0;-8;-9;52
AB10000016;1471255489;14/06/2025;29/06/2025;10,323.03;10,323.03;EUR;I;;1417396527;8424392;2052003651;RV;B_BILAB01_02;;1;S;0;-13;-5;16
AB10000016;1437956009;14/07/2025;30/07/2025;41,008.46;41,008.46;EUR;C;;1440215779;8492178;;RV;B_BILAB01_02;;1;S;0;-10;-16;7
AB10000017;1438571137;07/06/2025;22/06/2025;68,636.44;68,636.44;EUR;C;;1458371524;8465623;2080071483;RV;B_BILAB01_02;;1;S;0;-13;-1;18
AB10000017;1456130608;15/06/2025;22/06/2025;61,974.15;61,974.15;EUR;I;;1464983575;8437973;2063479428;RV;B_BILAB01_02;;1;S;0;-7;-9;51
AB10000017;1409379614;22/06/2025;03/07/2025;45,235.29;45,235.29;EUR;B;;1491367601;8450669;2003991969;RV;B_BILAB01_02;;1;S;0;-12;-12;5
AB10000017;1491280086;22/06/2025;28/06/2025;17,438.29;17,438.29;EUR;I;;1415344764;8477600;;RV;B_BILAB01_02;;1;S;0;-14;-8;42
AB10000017;1438749594;29/06/2025;05/07/2025;31,294.40;31,294.40;EUR;B;;1401524735;8417773;;RV;B_BILAB01_02;;1;S;0;0;-12;20
AB10000018;1476938438;14/07/2025;26/07/2025;14,641.00;14,641.00;EUR;I;;1432131511;8436509;2089523960;RV;B_BILAB01_02;;1;S;0;-12;-20;47
AB10000018;1475389266;07/07/2025;14/07/2025;40,254.84;40,254.84;EUR;C;;1418358058;8417949;2027765688;RV;B_BILAB01_02;;1;S;0;-10;-3;22
AB10000018;1492915390;16/07/2025;22/07/2025;68,768.44;68,768.44;EUR;B;;1458552182;8460657;2075731042;RV;B_BILAB01_02;;1;S;0;-4;-11;54
AB10000018;1411497733;07/06/2025;19/06/2025;36,284.48;36,284.48;EUR;I;;1493325512;8432458;2015957409;RV;B_BILAB01_02;;1;S;0;-1;-11;7
AB10000019;1414687561;14/07/2025;20/07/2025;60,281.22;60,281.22;EUR;B;;1450482600;8450209;2010541015;RV;B_BILAB01_02;;1;S;0;-10;-14;17
AB10000019;1429294367;08/06/2025;17/06/2025;63,948.79;63,948.79;EUR;C;;1493947631;8411704;;RV;B_BILAB01_02;;1;S;0;-1;-4;33
AB10000019;1434933438;09/06/2025;27/06/2025;67,879.42;67,879.42;EUR;C;;1424167159;8435745;2062188213;RV;B_BILAB01_02;;1;S;0;-13;-3;12
AB10000019;1400208254;11/07/2025;29/07/2025;14,991.01;14,991.01;EUR;B;;1442603441;8450257;2043166656;RV;B_BILAB01_02;;1;S;0;-15;-13;58
AB10000019;1482553285;24/07/2025;02/08/2025;57,085.79;57,085.79;EUR;C;;1443068073;8465568;2053351903;RV;B_BILAB01_02;;1;S;0;-9;-15;30
AB10000019;1441233137;14/06/2025;02/07/2025;26,762.26;26,762.26;EUR;C;;1478920775;8443737;2033353698;RV;B_BILAB01_02;;1;S;0;-12;-13;7
AB10000019;1455702660;24/06/2025;07/07/2025;20,321.87;20,321.87;EUR;I;;1457540710;8422558;2048321567;RV;B_BILAB01_02;;1;S;0;-14;0;49
AB10000019;1482220034;27/07/2025;15/08/2025;7,691.28;7,691.28;EUR;B;;1412575699;8466444;2090366286;RV;B_BILAB01_02;;1;S;0;-10;-13;29
AB10000019;1457661711;16/07/2025;02/08/2025;30,458.18;30,458.18;EUR;C;;1411695417;8455873;2004343171;RV;B_BILAB01_02;;1;S;0;-2;-19;21
AB10000019;1420983943;11/06/2025;17/06/2025;60,980.48;60,980.48;EUR;B;;1401068411;8493854;2004999881;RV;B_BILAB01_02;;1;S;0;-15;-9;37
AB10000019;1492018076;22/07/2025;06/08/2025;30,863.27;30,863.27;EUR;B;;1423534793;8473384;;RV;B_BILAB01_02;;1;S;0;-5;-17;47
AB10000019;1401445954;29/06/2025;10/07/2025;57,700.01;57,700.01;EUR;I;;1471634284;8407591;;RV;B_BILAB01_02;;1;S;0;-5;-14;46
AB10000020;1432141879;01/06/2025;07/06/2025;21,663.07;21,663.07;EUR;I;;1442688448;8470004;2060036528;RV;B_BILAB01_02;;1;S;0;-3;-1;19
AB10000020;1476254903;24/06/2025;09/07/2025;28,939.87;28,939.87;EUR;B;;1429036105;8499293;2034193326;RV;B_BILAB01_02;;1;S;0;-7;-15;26
